fiscal_year,period,period_end,price_usd,52w_high_usd,52w_low_usd,dividend_per_share_ttm_usd,dividend_yield_ttm_pct,trading_date_used,source,ticker,fy2020_price_usd_baseline,fy2020_price_trading_date_baseline,fy2020_price_source_baseline,yahoo_history_sha256,yfinance_version
2021,Q1,2021-04-02,52.5099983215332,54.93000030517578,43.20000076293945,1.65,3.1422587178475894,2021-04-01,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2021,Q2,2021-07-02,54.18000030517578,56.47999954223633,43.83000183105469,1.66,3.063861186138497,2021-07-02,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2021,Q3,2021-10-01,53.02000045776367,57.560001373291016,47.29999923706055,1.67,3.149754782311518,2021-10-01,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2021,Q4,2021-12-31,59.209999084472656,59.349998474121094,48.11000061035156,1.68,2.8373585981705687,2021-12-31,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2021,FY,2021-12-31,59.209999084472656,59.349998474121094,48.11000061035156,1.68,2.8373585981705687,2021-12-31,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2022,Q1,2022-04-01,62.869998931884766,63.02000045776367,52.279998779296875,1.7,2.7039924111368774,2022-04-01,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2022,Q2,2022-07-01,64.37999725341797,67.19999694824219,52.279998779296875,1.72,2.6716372683732668,2022-07-01,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2022,Q3,2022-09-30,56.02000045776367,67.19999694824219,52.279998779296875,1.74,3.1060335340623113,2022-09-30,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2022,Q4,2022-12-31,63.61000061035156,67.19999694824219,54.02000045776367,1.76,2.7668605299676523,2022-12-30,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
2022,FY,2022-12-31,63.61000061035156,67.19999694824219,54.02000045776367,1.76,2.7668605299676523,2022-12-30,Yahoo Finance,KO,54.84000015258789,2020-12-31,Yahoo Finance,bf9fdd738452b2f85bd84f601545b87d5b1fdd0954ad5735f47a1f7ed9a09740,1.4.1
